"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"radios","tech_problems_USB","Numerical–Categorical","Correlation ratio (η)","0.09747119118870055","0.09747119118870055"
"radios","portability_shs","Numerical–Categorical","Correlation ratio (η)","0.09747119118870055","0.09747119118870055"
"wakeup_time_after","other_app","Numerical–Numerical","Pearson","-0.0974347362724522","0.0974347362724522"
"light_bulb_1_time","cooking_metal","Numerical–Categorical","Correlation ratio (η)","0.09738890502642765","0.09738890502642765"
"fam_head_age","accessibility","Numerical–Categorical","Correlation ratio (η)","0.09730443866447185","0.09730443866447185"
"cooking_time_min_d","community","Numerical–Categorical","Correlation ratio (η)","0.09721987545843508","0.09721987545843508"
"act_agriculture","light_bulb_1_time","Numerical–Numerical","Pearson","-0.09710092361267568","0.09710092361267568"
"radio_time","cooking_rustic","Numerical–Categorical","Correlation ratio (η)","0.09706814221671355","0.09706814221671355"
"radio_time","cooking_improved","Numerical–Categorical","Correlation ratio (η)","0.09706814221671355","0.09706814221671355"
"monthly_fuel_exp","tech_problems_PV","Numerical–Categorical","Correlation ratio (η)","0.09706184754047532","0.09706184754047532"
"monthly_fuel_exp","mat_wall","Numerical–Categorical","Correlation ratio (η)","0.09706184754047532","0.09706184754047532"
"monthly_fuel_exp","newly_acq_flashlight","Numerical–Categorical","Correlation ratio (η)","0.09706184754047532","0.09706184754047532"
"monthly_fuel_exp","newly_acq_tablet","Numerical–Categorical","Correlation ratio (η)","0.09706184754047532","0.09706184754047532"
"monthly_fuel_exp","desired_app_phone","Numerical–Categorical","Correlation ratio (η)","0.09706184754047532","0.09706184754047532"
"light_bulb_1_time","water_source","Numerical–Categorical","Correlation ratio (η)","0.09703991000163859","0.09703991000163859"
"transport_car","mant_capacity","Categorical–Categorical","Cramér’s V","0.09698828681643085","0.09698828681643085"
"illum_candles","transport_car","Categorical–Categorical","Cramér’s V","0.09695359714832658","0.09695359714832658"
"cooking_gas","transport_car","Categorical–Categorical","Cramér’s V","0.09695359714832658","0.09695359714832658"
"sleep_time_after","illum_picolamp","Numerical–Categorical","Correlation ratio (η)","0.09691259809372975","0.09691259809372975"
"other_illum","accessibility","Categorical–Categorical","Cramér’s V","0.09686326229531807","0.09686326229531807"
"children_5_17","sleep_time_after","Numerical–Numerical","Pearson","-0.09666231912423315","0.09666231912423315"
"radio_time","illum_candles","Numerical–Categorical","Correlation ratio (η)","0.09659070483275545","0.09659070483275545"
"other_app","desired_app_blender","Numerical–Categorical","Correlation ratio (η)","0.09627752908817877","0.09627752908817877"
"other_app","transport_car","Numerical–Categorical","Correlation ratio (η)","0.09627752908817877","0.09627752908817877"
